CustomerID,Gender,Age,AnnualIncome_k$,SpendingScore,Region,MembershipYears
1,Male,41,105,1,South,0
2,Female,69,104,63,North,5
3,Male,28,33,54,North,8
4,Male,66,53,55,West,7
5,Male,25,140,40,North,5
6,Female,53,140,15,North,2
7,Male,55,72,21,South,7
8,Male,57,75,47,East,8
9,Male,37,141,73,North,0
10,Female,52,119,53,East,8
11,Male,65,15,9,North,5
12,Male,42,145,74,North,5
13,Male,52,106,52,West,3
14,Male,42,127,57,West,0
15,Female,46,70,26,West,9
16,Male,35,131,41,East,7
17,Female,63,148,35,South,1
18,Female,35,72,63,North,0
19,Female,19,58,25,North,1
20,Male,52,75,90,North,0
21,Female,33,61,75,East,0
22,Male,58,94,38,West,8
23,Female,53,132,2,South,0
24,Female,50,34,7,East,3
25,Female,21,61,82,West,9
26,Female,50,63,91,East,5
27,Female,31,28,34,South,6
28,Female,38,15,91,West,1
29,Female,65,131,17,East,5
30,Female,37,68,43,South,6
31,Male,25,132,59,North,9
32,Male,24,17,51,South,9
33,Female,20,26,54,North,1
34,Female,34,88,24,East,1
35,Female,50,30,25,West,9
36,Male,65,116,71,West,6
37,Female,29,131,52,East,0
38,Male,68,22,70,West,7
39,Male,39,136,88,West,2
40,Male,39,106,33,North,5
41,Male,63,104,49,East,8
42,Male,47,74,29,South,5
43,Female,55,42,63,North,8
44,Female,55,115,22,East,6
45,Female,62,55,26,North,8
46,Female,68,60,28,South,1
47,Female,25,49,85,South,7
48,Male,44,148,49,East,7
49,Female,44,96,71,South,1
50,Female,51,129,81,North,3
51,Male,38,61,84,South,6
52,Female,47,24,49,North,3
53,Male,50,70,20,North,3
54,Female,45,44,86,South,5
55,Male,64,123,92,East,9
56,Female,50,19,63,West,5
57,Female,22,133,61,South,9
58,Male,65,47,49,North,2
59,Male,36,132,71,North,8
60,Male,21,79,1,South,9
61,Male,52,25,96,East,1
62,Male,66,99,13,East,5
63,Male,34,40,94,North,6
64,Male,61,77,87,North,8
65,Male,45,100,51,East,2
66,Female,47,73,56,West,9
67,Female,46,41,83,South,2
68,Male,63,112,62,North,6
69,Female,23,119,32,North,3
70,Female,52,113,30,East,7
71,Female,58,143,29,South,6
72,Female,54,69,49,East,4
73,Male,41,20,45,South,6
74,Female,46,109,93,South,2
75,Male,66,147,30,South,1
76,Female,63,116,16,North,5
77,Female,48,17,40,West,1
78,Female,52,37,19,East,2
79,Male,50,67,18,West,5
80,Female,69,97,1,East,4
81,Male,38,99,78,South,7
82,Female,49,92,47,North,8
83,Male,40,124,66,West,2
84,Female,50,15,92,North,9
85,Male,20,65,94,East,2
86,Male,35,18,38,North,2
87,Female,42,127,51,North,5
88,Male,59,46,63,West,0
89,Female,48,48,4,South,6
90,Female,20,106,1,North,0
91,Female,57,109,8,South,4
92,Female,63,86,29,East,9
93,Female,41,53,55,North,7
94,Female,67,132,3,West,3
95,Female,49,17,32,East,4
96,Female,64,137,10,East,3
97,Female,39,64,74,West,3
98,Female,40,26,83,North,7
99,Female,19,68,34,North,1
100,Male,44,147,97,East,0
101,Male,59,71,87,North,2
102,Female,19,126,55,South,8
103,Female,43,61,92,West,3
104,Female,34,99,32,South,9
105,Female,57,80,50,North,4
106,Female,50,89,7,East,1
107,Female,26,117,93,West,3
108,Female,60,52,8,North,1
109,Female,65,64,65,North,1
110,Male,56,112,57,East,3
111,Female,46,96,67,East,5
112,Male,59,44,88,South,6
113,Female,43,93,87,West,9
114,Female,52,105,59,West,2
115,Male,67,66,72,East,2
116,Female,42,93,54,South,9
117,Male,41,44,67,West,5
118,Female,30,120,51,East,2
119,Female,24,65,97,North,1
120,Male,53,95,92,West,7
121,Female,62,147,8,South,4
122,Male,37,43,34,South,0
123,Female,18,146,35,South,2
124,Male,25,88,96,North,9
125,Male,63,31,88,West,7
126,Female,33,98,78,West,3
127,Female,31,83,32,North,6
128,Male,29,48,46,West,9
129,Female,68,20,16,North,1
130,Female,40,67,68,North,6
131,Female,32,140,37,North,4
132,Male,45,57,54,South,4
133,Male,51,129,85,West,5
134,Male,19,125,14,North,8
135,Male,49,94,95,West,5
136,Male,40,109,55,South,7
137,Male,39,132,48,North,6
138,Male,68,22,82,East,8
139,Male,42,146,7,South,3
140,Male,39,118,74,East,1
141,Female,39,146,7,West,6
142,Male,66,39,33,West,5
143,Female,69,110,23,South,0
144,Female,59,107,85,West,8
145,Female,23,75,19,East,8
146,Male,32,136,19,North,1
147,Male,60,65,36,North,2
148,Male,54,35,29,North,4
149,Male,50,19,60,South,4
150,Female,25,106,82,West,0
151,Male,61,75,2,East,7
152,Male,61,36,1,West,7
153,Male,22,84,47,West,3
154,Male,56,15,69,West,6
155,Male,21,147,20,North,9
156,Female,23,26,11,East,2
157,Male,62,104,2,East,5
158,Female,49,60,67,West,9
159,Male,69,48,87,North,9
160,Female,47,92,12,North,8
161,Male,64,59,20,East,0
162,Male,52,87,5,North,4
163,Female,57,40,37,North,3
164,Female,69,61,38,North,7
165,Female,33,135,94,South,0
166,Male,30,70,9,West,8
167,Female,67,108,98,East,5
168,Male,59,121,53,East,3
169,Male,47,77,44,South,8
170,Female,36,62,99,West,4
171,Female,34,75,86,East,4
172,Male,36,95,24,North,4
173,Male,45,40,81,East,0
174,Female,43,50,74,North,0
175,Female,54,15,30,South,7
176,Female,43,22,59,North,7
177,Male,40,127,87,East,5
178,Male,26,113,96,East,3
179,Male,29,61,81,East,1
180,Male,18,141,81,South,1
181,Male,18,70,14,South,8
182,Male,64,28,9,West,4
183,Female,51,42,40,East,3
184,Male,49,92,66,North,9
185,Male,65,144,25,South,0
186,Male,42,123,73,East,6
187,Female,57,28,22,East,2
188,Male,62,70,4,South,5
189,Male,18,129,26,West,4
190,Female,33,21,58,South,4
191,Male,56,17,29,South,4
192,Male,22,125,98,North,0
193,Male,39,121,87,North,0
194,Male,46,32,37,West,2
195,Male,20,52,75,East,9
196,Female,29,129,70,South,3
197,Female,43,29,18,West,4
198,Female,33,133,85,North,1
199,Male,68,42,42,South,7
200,Male,54,53,100,East,1
201,Male,39,31,41,North,8
202,Female,46,100,38,North,1
203,Male,31,140,34,North,8
204,Male,45,58,17,West,6
205,Female,22,39,37,East,7
206,Male,64,27,25,South,1
207,Female,66,39,76,West,6
208,Female,47,82,87,West,5
209,Female,63,81,86,West,3
210,Male,69,123,85,North,6
211,Male,22,125,27,East,3
212,Male,29,125,57,West,1
213,Male,33,48,31,South,9
214,Male,43,125,6,East,6
215,Male,43,22,91,South,7
216,Male,65,127,40,East,1
217,Female,38,97,98,South,4
218,Male,56,56,12,North,0
219,Female,53,115,53,West,6
220,Male,50,20,71,South,7
221,Male,47,40,10,East,5
222,Male,54,78,45,West,4
223,Female,40,73,17,West,5
224,Female,27,123,26,East,1
225,Female,22,135,85,South,0
226,Female,53,47,92,North,6
227,Male,51,35,62,North,6
